Latitude,Longitude
43.53,-70.3
43.57,-70.3
43.57,-70.33
43.5,-70.37
43.47,-70.35
43.48,-70.32
43.47,-70.32
43.37,-70.45
43.35,-70.52
43.27,-70.58
43.22,-70.57
43.2,-70.6
43.18,-70.58
43.17,-70.62
43.08,-70.67
43.12,-70.73
43.07,-70.75
43.08,-70.73
43.05,-70.75
43.05,-70.7
42.93,-70.78
42.87,-70.82
42.88,-70.82
42.88,-70.82
42.85,-70.82
42.72,-70.78
42.67,-70.72
42.67,-70.68
42.68,-70.65
42.68,-70.62
42.67,-70.62
42.63,-70.6
42.62,-70.53
42.62,-70.52
42.58,-70.52
42.58,-70.65
42.57,-70.75
42.52,-70.78
42.48,-70.78
42.45,-70.85
42.42,-70.92
42.37,-70.92
42.33,-70.88
42.3,-70.88
42.27,-70.87
42.23,-70.77
42.22,-70.67
42.17,-70.62
42.12,-70.6
42.03,-70.6
41.98,-70.63
41.97,-70.63
41.93,-70.57
41.92,-70.48
41.83,-70.52
41.77,-70.48
41.73,-70.35
41.73,-70.2
41.77,-70.08
41.82,-69.98
41.9,-70
41.95,-70.07
42.03,-70.08
42.05,-70.17
42.03,-70.15
42.02,-70.18
42.03,-70.23
42.07,-70.12
42.07,-70.1
42.03,-70.03
41.97,-69.98
41.9,-69.93
41.83,-69.92
41.73,-69.9
41.65,-69.92
41.53,-69.98
41.63,-69.95
41.67,-69.93
41.67,-70.03
41.63,-70.17
41.6,-70.33
41.58,-70.45
41.58,-70.73
41.6,-70.82
41.55,-70.92
41.53,-71.03
